Match,Day,Date,Time,Stadium,City
Ironi Tiberias vs Ashdod,Saturday,2025-02-22,N/A,Tiberias Municipal Stadium,Tiberias
Maccabi Tel Aviv vs Maccabi Bnei Raina,Saturday,2025-02-22,N/A,Bloomfield Stadium,Tel Aviv
Maccabi Petah Tikva vs Beitar Jerusalem,Saturday,2025-03-01,N/A,HaMoshava Stadium,Petach Tikva
Hapoel Haifa vs Bnei Sakhnin,Saturday,2025-03-01,N/A,Sammy Ofer Stadium,Haifa
Hapoel Jerusalem vs Ironi Kiryat Shmona,Saturday,2025-03-01,N/A,Teddy Stadium,Jerusalem
Hapoel Hadera vs Maccabi Tel Aviv,Saturday,2025-03-01,N/A,Shar-Tov Stadium,Netanya
Ironi Tiberias vs Maccabi Bnei Raina,Saturday,2025-03-01,N/A,Tiberias Municipal Stadium,Tiberias
Hapoel Be'er Sheva vs Maccabi Haifa,Saturday,2025-03-01,N/A,Turner Stadium,Be'er Sheva
Ashdod vs Maccabi Netanya,Saturday,2025-03-01,N/A,Yud-Alef Stadium,Ashdod
Beitar Jerusalem vs Hapoel Be'er Sheva,Saturday,2025-03-08,N/A,Teddy Stadium,Jerusalem
Maccabi Bnei Raina vs Hapoel Hadera,Saturday,2025-03-08,N/A,Green Stadium,Nazareth Illit
Maccabi Tel Aviv vs Hapoel Haifa,Saturday,2025-03-08,N/A,Bloomfield Stadium,Tel Aviv
Maccabi Netanya vs Ironi Tiberias,Saturday,2025-03-08,N/A,Shar-Tov Stadium,Netanya
Ironi Kiryat Shmona vs Maccabi Petah Tikva,Saturday,2025-03-08,N/A,Kiryat-Shmona Municipal Stadium,Kiryat Shmona
Bnei Sakhnin vs Hapoel Jerusalem,Saturday,2025-03-08,N/A,Doha Stadium,Sakhnin
Maccabi Haifa vs Ashdod,Saturday,2025-03-08,N/A,Sammy Ofer Stadium,Haifa
